ONB	803.85	1717	1821	1872	2498	2791	266.8	529.07	498.15	536.01	685.8	707.75	NA	NA	NA	NA	NA	DER	DER	DER	DER	DER	NA	NA
SSB	1387	1645	1740	1718	2675	2714	526.31	519.07	547.54	578.87	760.83	775.75	NA	NA	NA	NA	NA	DER	DER	DER	DER	DER	NA	NA
CFR	1372	1696	1987	2064	2235	2299	440.97	534.38	606.13	693.68	757.89	777.19	881.99	1024	1229	1303	1419	DER	DER	DER	DER	DER	NA	NA
COLB	1276	1270	1997	1929	2301	2653	469.91	431.47	598	569	639	728	NA	NA	NA	NA	NA	DER	DER	DER	DER	DER	NA	NA
WAL	1953	2541	2620	3162	3543	3664	466.7	539.5	566.3	631.1	757.5	805	851.4	1157	1623	2025	2112	895.7	1045	709.6	774.9	956.2	970.5	110
CBSH	1426	1509	1586	1664	1768	1900	481.75	507.47	535.5	558.11	577.71	615.71	NA	NA	NA	NA	NA	DER	DER	DER	DER	DER	NA	NA
BOKF	1874	1855	2062	2050	2176	2282	682.14	659.35	750.26	788.36	855.27	852.23	NA	NA	NA	NA	NA	DER	DER	DER	DER	DER	NA	NA
VLY	1354	1850	1873	1827	1984	2098	354.98	497.95	520.52	527.57	546.96	555.03	NA	NA	NA	NA	NA	DER	DER	DER	DER	DER	NA	NA
PB	1133	1150	1110	1192	1250	1391	310.56	314.71	328.43	352.35	353.11	396.51	473.62	484.19	556.7	570.57	556.21	519.3	524.52	419.32	479.39	542.84	562.31	95
FNB	1237	1443	1571	1596	1765	1828	418	426	462	504	530	536.6	733	826	915	961	1010	397	431	477	459	565	NA	362
GBCI	801.96	904.93	802.27	830.8	1024	1185	265.3	312.55	301.15	328.99	385.22	427.05	NA	NA	NA	NA	NA	DER	DER	DER	DER	DER	NA	NA
UBSI	1021	1050	1055	1035	1237	1282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DER	DER	DER	DER	DER	NA	NA
FLG	1350	1484	3633	2673	2062	2090	272	325	1102	1209	915	878	518	609	2225	2732	2020	596	650	-79	-1118	-177	48	NA
CBC	NA	NA	1008	1115	1222	1199	NA	NA	NA	NA	NA	NA	NA	NA	653	721	715	NA	NA	273.69	305.81	390.85	429.55	222
